createdAt,createdBy,LastChangedAt,LastChangedBy,TravelUUID,TravelID,BeginDate,EndDate,BookingFee,TotalPrice,CurrencyCode_code,Progress,Description,TravelStatus_code,to_Agency_AgencyID,to_Customer_CustomerID
2021-10-20T19:54:13.000Z,Meier,2022-09-01T13:50:29.755Z,privileged,52657221A8E4645C17002DF03754AB66,1,2025-11-06,2025-11-06,20,900,USD,65,"Business Trip for Christine, Pierre",O,070007,000608
2021-10-02T22:05:32.000Z,Detemple,2022-09-01T13:50:29.755Z,privileged,53657221A8E4645C17002DF03754AB66,2,2025-11-06,2026-09-04,80,4164,USD,65,Vacation,O,070046,000093
2021-10-16T04:32:59.000Z,Rahn,2022-09-01T13:50:29.755Z,privileged,54657221A8E4645C17002DF03754AB66,3,2025-11-06,2026-09-04,40,1871,USD,65,Vacation,O,070042,000665
2021-10-19T06:57:58.000Z,Sessler,2022-09-01T13:50:29.755Z,privileged,55657221A8E4645C17002DF03754AB66,4,2025-11-06,2025-11-06,20,992,USD,65,"Business Trip for Kurt, Ida",O,070007,000225
2021-10-11T12:58:58.000Z,Neubasler,2022-09-01T13:50:29.755Z,privileged,56657221A8E4645C17002DF03754AB66,5,2025-11-06,2026-09-04,120,5586,USD,65,Vacation,O,070049,000072
2021-10-02T03:29:47.000Z,Mechler,2022-09-01T13:50:29.755Z,privileged,57657221A8E4645C17002DF03754AB66,6,2025-11-06,2026-09-04,120,5691,USD,65,Vacation,O,070046,000138
2021-10-02T22:08:00.000Z,Illner,2022-09-01T13:50:29.755Z,privileged,58657221A8E4645C17002DF03754AB66,7,2025-11-06,2025-11-08,60,2777,USD,65,"Vacation for Lothar, Ulla, Thilo,",O,070012,000705
2021-10-02T22:54:38.000Z,Mustermann,2022-09-01T14:09:25.812Z,privileged,59657221A8E4645C17002DF03754AB66,8,2025-11-06,2026-09-04,120,5792,USD,100,Visiting Anna,A,070032,000115
2021-10-06T22:57:30.000Z,Mustermann,2022-09-01T13:50:29.755Z,privileged,5A657221A8E4645C17002DF03754AB66,9,2025-11-06,2025-11-08,20,959,USD,65,Business Trip to USA,O,070016,000697
2021-10-20T16:02:21.000Z,Benz,2022-09-01T13:50:29.755Z,privileged,5B657221A8E4645C17002DF03754AB66,10,2025-11-06,2025-11-06,20,959,USD,65,Vacation,O,070005,000582
